SMILES                           Hf (kcal/mol)
CC12CC(O1)C21CN1                       60.8001
CC12CC(O1)C21CO1                       17.2174
CC12CN(C1)C21CC1                       92.3990
OC12CC(C1)C21CC1                       38.5201
OC12CC(C1)C21CN1                       51.1409
OC12CC(C1)C21CO1                        8.5321
OC12CN(C1)C21CC1                       59.8689
CC1CC1CC1CC1                           22.0420
CC1CC1CC1CO1                           -6.9708
CC1CC1CN1CC1                           40.3355
CC1CC1OC1CC1                           -3.0326
CC1CN1CC1CC1                           39.6139
CC1CN1CC1CN1                           53.6886
CC1CN1CC1CO1                           11.7977
CC1NC1CN1CC1                           51.9140
CC1OC1CC1CC1                           -9.6886
CC1OC1CC1CO1                          -38.2132
CC1OC1CN1CC1                            8.8346
CN1CC1CC1CC1                           41.4104
CN1CC1CC1CO1                           12.9460
CN1CC1CN1CC1                           59.9072
OC1CC1CC1CC1                           -6.3145
OC1CC1CC1CO1                          -35.4290
OC1CC1CN1CC1                           12.0518
OC1CC1OC1CC1                          -30.4654
CC12CCC1C1CC21                         60.5350
CC12CCC1C1NC21                         74.6775
CC12CCC1C1OC21                         30.6473
CC12CCC1N1CC21                         76.5914
CC12COC1C1CC21                         31.7938
CC12COC1C1CN21                         47.5070
CC12COC1C1NC21                         49.0757
CC12COC1C1OC21                          5.6656
CC12OCC1C1CC21                         29.2681
CC12OCC1C1NC21                         46.4069
CC12OCC1C1OC21                          2.8048
CC12OCC1N1CC21                         46.4421
OC12CCC1C1CC21                         30.2991
OC12CCC1C1NC21                         45.3992
OC12CCC1C1OC21                          1.7361
OC12CCC1N1CC21                         46.6962
OC12COC1C1CC21                          2.7332
OC12COC1C1NC21                         20.8742
OC12COC1C1OC21                        -21.9925
CC12C(O)C1C1CC21                       44.8027
CC12C(O)C1C1CN21                       59.0456
CC12C(O)C1C1NC21                       54.6668
CC12C(O)C1C1OC21                       11.8968
CC12C(O)C1N1CC21                       60.5761
CC1C2C3CC3C12C                         77.5888
CC1C2C3CC3C12O                         49.4519
CC1C2C3CN3C12C                         91.4426
CC1C2C3NC3C12C                         91.1534
CC1C2C3NC3C12O                         63.2631
CC1C2C3OC3C12C                         45.6498
CC1C2C3OC3C12O                         18.5465
CC1C2N3CC3C12C                         92.6255
CC1C2N3CC3C12O                         65.1274
CC1N2C3CC3C12C                         91.6278
CN1C2C3CC3C12C                         94.8437
CN1C2C3NC3C12C                        108.7258
CN1C2C3OC3C12C                         64.1303
OC1C2C3CC3C12O                         16.7581
OC1C2C3NC3C12O                         27.0257
OC1C2C3OC3C12O                        -15.3409
OC1C2N3CC3C12O                         33.0649
CC12CC1CC1CC21                         39.0076
CC12CC1CC1OC21                          5.6919
CC12CC1CN1CC21                         55.6765
CC12CC1OC1CC21                         15.0431
CC12CN1CC1NC21                         65.9102
CC12CN1CC1OC21                         21.8795
CC12NC1CC1NC21                         66.4091
CC12NC1CC1OC21                         21.9661
CC12NC1CN1CC21                         65.9868
CC12OC1CC1CC21                          2.9798
CC12OC1CC1NC21                         20.6100
CC12OC1CC1OC21                        -22.9896
CC12OC1CN1CC21                         20.6138
OC12CC1CC1CC21                         10.7917
OC12CC1CC1NC21                         22.2641
OC12CC1CC1OC21                        -21.9831
OC12CC1CN1CC21                         27.7718
OC12CC1OC1CC21                        -12.2467
CC1CC1C1CC1C                           20.8228
CC1CC1C1CC1O                           -7.5456
CC1CC1C1CN1C                           40.3487
CC1CC1C1OC1C                          -11.0942
CC1CC1N1CC1C                           37.1653
CC1CN1C1CC1O                            7.9109
CC1NC1C1CN1C                           53.0122
CC1NC1C1NC1C                           45.2800
CC1NC1C1OC1C                            1.8993
CC1OC1C1CC1O                          -38.9958
CC1OC1C1CN1C                            9.3981
CC1OC1C1OC1C                          -40.9824
CN1CC1C1CC1O                           14.2562
CN1CC1C1CN1C                           60.7261
OC1CC1C1CC1O                          -35.7635
CC(=O)C1CC2CC12                         0.6875
CC(=O)C1CC2CN12                        17.2447
CC(=O)C1CC2NC12                        17.7442
CC(=O)C1CC2OC12                       -25.8323
CC(=O)C1CN2CC12                        17.5239
CC(=O)C1OC2CC12                       -20.6547
CC(=O)N1CC2CC12                         3.1006
NC(=O)C1CC2CC12                        -3.1155
NC(=O)C1CC2CN12                        10.8488
NC(=O)C1CC2NC12                         8.6939
NC(=O)C1CC2OC12                       -34.1464
NC(=O)C1OC2CC12                       -24.4163
NC(=O)N1CC2CC12                         2.7715
[O-]C(=O)C1[NH2+]C2CC12               -29.6359
CC(C)C1CC2CC12                         20.6371
CC(C)C1CC2OC12                         -8.1047
CC(C)C1OC2CC12                         -5.4692
CC(O)C1CC2CC12                         -8.9707
CC(O)C1CC2CN12                          7.3003
CC(O)C1CC2NC12                          5.8250
CC(O)C1CC2OC12                        -37.9880
CC(O)C1CN2CC12                          7.4427
CC(O)C1OC2CC12                        -34.3629
C1C2CC3(CCC3)C12                       55.9579
C1C2CC3(CCO3)C12                       24.2072
C1C2CC3(COC3)C12                       30.4610
C1C2CC3(COC3)N12                       44.8626
C1C2N1CC21CCC1                         72.3745
C1C2N1CC21CCO1                         42.3896
C1C2N1CC21COC1                         47.2654
C1C2OC3(CCC3)C12                       27.6058
C1C2OC3(COC3)C12                        3.8979
C1CC2(C1)CC1NC21                       71.5964
C1CC2(C1)CC1OC21                       28.1386
C1CC2(CC3NC23)O1                       41.3473
C1CC2(CC3OC23)O1                       -1.4610
C1OCC11CC2NC12                         46.2839
C1OCC11CC2OC12                          3.4109
CC1CC11CC2CC12                         57.1257
CC1CC11CC2NC12                         73.5254
CC1CC11CC2OC12                         29.9401
CC1CC11CN2CC12                         73.6352
CC1CC11OC2CC12                         32.8863
CC1NC11CC2NC12                         85.3561
CC1NC11CC2OC12                         42.1160
CC1NC11CN2CC12                         85.4446
CC1OC11CC2CC12                         23.7636
CC1OC11CC2NC12                         40.7782
CC1OC11CC2OC12                         -1.9875
CC1OC11CN2CC12                         41.1735
CN1CC11CC2NC12                         91.8828
CN1CC11CC2OC12                         48.7388
OC1CC11CC2CC12                         29.8561
OC1CC11CC2CN12                         44.4748
OC1CC11CC2NC12                         46.6680
OC1CC11CC2OC12                          3.1097
OC1CC11CN2CC12                         46.4069
OC1CC11OC2CC12                          5.9737
CC12CC3C(C13)C2=O                      33.2612
CC12CC3C(N13)C2=O                      42.7224
CC12CC3C1N3C2=O                        44.4738
CC12CN3C(C13)C2=O                      51.7429
CC12OC3C(C13)C2=O                      12.2559
OC12CC3C(C13)C2=O                       2.3331
OC12CC3C1N3C2=N                        66.0605
OC12CC3C1N3C2=O                        14.4030
OC12CN3C(C13)C2=O                      20.9234
CC12CC3C(C13)C2O                       23.1172
CC12CC3C(C1O)N23                       31.1986
CC12CN3C(C13)C2O                       39.6719
CC12OC3C(C13)C2O                       -4.2698
CC1C2C3CC1(C)C23                       56.2190
CC1C2C3CC1(C)N23                       62.7234
CC1C2C3CC1(O)C23                       26.6062
CC1C2C3N2CC13C                         72.0319
CC1C2C3N2CC13O                         42.9343
CC1C2C3OC1(C)C23                       29.8906
CC1N2C3CC1(C)C23                       70.4286
CC1N2C3CC1(O)C23                       39.8752
OC1C2C3CC1(O)C23                       -7.1312
OC1C2C3N2CC13O                         10.1833
CC12CC1C1C(O)C21                       44.7494
CC12CN1C1C(O)C21                       58.9032
CC12NC1C1C(O)C21                       52.8759
CC12OC1C1C(O)C21                        8.5502
CC1C2C1C1(C)CN21                       84.9046
CC1C2C3CC3(C)C12                       54.6565
CC1C2C3CC3(C)N12                       71.0009
CC1C2C3CC3(O)C12                       25.9002
CC1C2C3NC3(C)C12                       67.5082
CC1C2C3OC3(C)C12                       26.5811
CC1C2N1C1CC21C                         84.3424
CC1C2N1C1CC21O                         57.2672
CN1C2C3CC3(C)C12                       74.4095
CN1C2C3CC3(O)C12                       46.1660
CN1C2C3NC3(C)C12                       88.5087
CN1C2C3OC3(C)C12                       48.4181
OC1C2C3CC3(O)C12                       -3.0185
CC12CC1C1CC1C2                         39.0189
CC12CC1C1CC1O2                         12.6748
CC12CC1C1CN1C2                         55.5610
CC12CC1C1OC1C2                          5.6317
CC12CC1N1CC1C2                         56.3266
CC12CC3CC3C1O2                          3.1329
CC12CC3NC3C1N2                         60.2325
CC12CC3NC3C1O2                         20.7744
CC12CC3OC3C1N2                         16.8042
CC12CC3OC3C1O2                        -22.7644
CC12CN3CC3C1N2                         67.4614
CC12CN3CC3C1O2                         20.6721
OC12CC1C1CC1C2                         10.1918
OC12CC1C1CN1C2                         27.2070
OC12CC1C1NC1C2                         21.3348
OC12CC1C1OC1C2                        -23.0248
OC12CC1N1CC1C2                         27.9218
CC12CC3C(C=C1)C23                      69.5851
CC12CC3C(C=C1)N23                      79.7850
CC12CN3C(C=C1)C23                      85.8806
CC12OC3C(C=C1)C23                      43.2731
OC12CC3C(C=C1)C23                      40.4756
OC12CN3C(C=C1)C23                      56.0457
CC12CC3C(CC1)C23                       36.0094
CC12CC3C(CO1)C23                        7.3755
CC12CC3C(OC1)C23                       11.2623
CC12CC3C1N3CC2                         51.5443
CC12CCC3C(O1)C23                        8.6807
CC12CN3C(CC1)C23                       52.2566
CC12CN3C(CO1)C23                       24.8049
CC12COC3C(O1)C23                      -12.9263
OC12CC3C(CC1)C23                        6.2768
OC12CC3C(OC1)C23                      -17.1456
OC12CC3C1N3CC2                         22.5151
OC12CN3C(CC1)C23                       23.0680
CC12CC1C1CC21C                         69.6878
CC12CC1C1CC21O                         41.0577
CC12CC1C1NC21C                         82.3105
CC12CC1C1OC21C                         36.4292
CC12CC1N1CC21C                         83.5423
CC12CN1C1CC21O                         55.3615
CC12NC1C1CC21O                         54.0795
CC12NC1C1NC21C                        102.0246
CC12NC1C1OC21C                         56.2388
CC12OC1C1CC21O                          8.8452
CC12OC1C1OC21C                         11.3929
OC12CC1C1CC21O                         12.4653
C#CC12CC3C(C1)C23                     131.5915
C#CC12CC3C(C1)N23                     140.7829
C#CC12CC3C(O1)C23                     111.0174
C#CC12CC3C1N3C2                       147.4828
N#CC12CC3C(C1)C23                     103.6243
N#CC12CC3C(C1)N23                     114.4849
N#CC12CC3C(N1)C23                     121.8557
N#CC12CC3C(O1)C23                      85.5245
N#CC12CC3C1N3C2                       120.3980
O=CC12CC3C(C1)C23                      46.3956
O=CC12CC3C(C1)N23                      55.5757
O=CC12CC3C(O1)C23                      24.9768
O=CC12CC3C1N3C2                        63.1159
CCC12CC3C(C1)C23                       58.1479
CCC12CC3C(C1)N23                       64.7452
CCC12CC3C(O1)C23                       33.0564
CCC12CC3C1N3C2                         73.8215
COC12CC3C(C1)C23                       34.2442
COC12CC3C1N3C2                         50.4632
OCC12CC3C(C1)C23                       32.0015
OCC12CC3C(C1)N23                       39.1592
OCC12CC3C(O1)C23                        6.1657
OCC12CC3C1N3C2                         47.0608
CC1C2CC3(CC3)C12                       58.1674
CC1C2CC3(CO3)C12                       26.8622
CC1C2N1CC21CC1                         71.4621
CC1C2N1CC21CN1                         85.2036
CC1C2N1CC21CO1                         42.3250
CC1C2OC3(CC3)C12                       32.9309
CN1C2CC3(CC3)C12                       76.7959
CN1C2CC3(CN3)C12                       90.4973
CN1C2CC3(CO3)C12                       46.6636
OC1C2CC3(CC3)C12                       28.8169
OC1C2CC3(CN3)C12                       40.2950
OC1C2CC3(CO3)C12                       -3.0919
OC1C2OC3(CC3)C12                        4.1112
C1C2CC3(CO3)CC12                        5.5771
C1CC11CC2CC2C1                         36.4530
C1CC11CC2CC2O1                         11.5623
C1C2CC3(CC3)CN12                       53.5059
C1CC11CC2OC2C1                          5.8814
C1NC11CC2CN2C1                         67.2230
C1OC11CC2CN2C1                         24.3362
C1OC11CC2NC2C1                         19.5056
C1OC11CC2OC2C1                        -24.1788
CC12CC1CC21CC1                         54.9326
CC12CC1CC21CO1                         24.4745
CC12CC1OC21CC1                         30.9711
CC12CN1CC21CC1                         70.0226
CC12CN1CC21CN1                         83.6606
CC12CN1CC21CO1                         40.3502
CC12NC1CC21CC1                         70.2573
CC12NC1CC21CN1                         83.9179
CC12NC1CC21CO1                         40.1601
CC12OC1CC21CC1                         25.2966
CC12OC1CC21CN1                         39.2866
CC12OC1CC21CO1                         -3.9529
OC12CC1CC21CC1                         25.5407
OC12CC1CC21CN1                         39.1435
OC12CC1CC21CO1                         -4.8722
OC12CC1OC21CC1                          3.0890
CC12CC(C1)C1CC21                       50.5538
CC12CC(C1)C1CN21                       65.1519
CC12CC(C1)C1NC21                       64.1560
CC12CC(C1)C1OC21                       20.6511
CC12CC(C1)N1CC21                       66.4251
CC12CC(O1)C1CC21                       18.3061
CC12CC(O1)C1NC21                       38.1313
CC12CC(O1)C1OC21                       -4.5308
OC12CC(C1)C1CC21                       20.0600
OC12CC(C1)C1NC21                       33.8304
OC12CC(C1)C1OC21                       -9.4543
OC12CC(C1)N1CC21                       36.5864
CC12CC1(C)C1CC21                       51.6921
CC12CC1(C)C1NC21                       67.8000
CC12CC1(C)C1OC21                       25.5350
CC12CC1(C)N1CC21                       68.0359
CC12CC1(O)C1CC21                       23.3645
CC12CC1(O)C1CN21                       39.9003
CC12CC1(O)C1NC21                       38.4005
CC12CC1(O)C1OC21                       -1.0695
CC12NC1(C)C1CC21                       63.3729
CC12NC1(C)C1NC21                       80.3505
CC12NC1(C)C1OC21                       38.8825
CC12OC1(C)C1CC21                       21.1211
CC12OC1(C)C1NC21                       38.7683
CC12OC1(C)C1OC21                       -2.1820
OC12CC1(O)C1CC21                       -4.3777
OC12CC1(O)C1NC21                       10.9194
OC12CC1(O)C1OC21                      -28.4722
CC(=O)C(=N)N1CC1                        6.9626
CC(=O)C(=O)C1CC1                      -56.4033
CC(=O)C(=O)C1CN1                      -40.6851
CC(=O)C(=O)C1CO1                      -76.9887
CC(=O)C(=O)N1CC1                      -45.0933
NC(=N)C(=O)C1CC1                       -7.7104
NC(=N)C(=O)C1CN1                        5.4670
NC(=N)C(=O)C1CO1                      -31.4899
NC(=N)C(=O)N1CC1                        2.2616
NC(=O)C(=N)N1CC1                       -1.0830
NC(=O)C(=O)C1CC1                      -64.9032
NC(=O)C(=O)C1CN1                      -49.0664
NC(=O)C(=O)C1CO1                      -85.7070
NC(=O)C(=O)N1CC1                      -53.6315
CC(C)C(=O)C1CC1                       -39.8429
CC(C)C(=O)C1CN1                       -25.3986
CC(C)C(=O)C1CO1                       -61.6928
CC(C)C(=O)N1CC1                       -29.2484
CC(O)C(=O)C1CC1                       -72.3328
CC(O)C(=O)C1CN1                       -56.8675
CC(O)C(=O)C1CO1                       -93.5928
CC(O)C(=O)N1CC1                       -59.9097
CN(C)C(=O)C1CC1                       -35.2524
CN(C)C(=O)C1CN1                       -21.9169
CN(C)C(=O)C1CO1                       -57.4461
CN(C)C(=O)N1CC1                       -23.7178
CC(C)C(C)C1CC1                        -14.8633
CC(C)C(C)C1CO1                        -44.0180
CC(C)C(O)C1CC1                        -46.3159
CC(C)C(O)C1CN1                        -32.4150
CC(C)C(O)C1CO1                        -77.1084
CC(O)C(C)C1CC1                        -46.3780
CC(O)C(C)C1CO1                        -74.8933
CC(O)C(C)N1CC1                        -31.6036
CC(O)C(O)C1CC1                        -76.3830
CC(O)C(O)C1CN1                        -62.0441
CC(O)C(O)C1CO1                       -108.0339
CC(=O)C(O)C1CC1                       -68.5715
CC(=O)C(O)C1CN1                       -55.7374
CC(=O)C(O)C1CO1                       -96.2353
CC(C1CC1)C(C)=O                       -36.2705
CC(C1CC1)C(N)=O                       -41.9686
CC(C1CN1)C(C)=O                       -21.3888
CC(C1CN1)C(N)=O                       -26.9921
CC(C1C[NH2+]1)C([O-])=O               -72.8954
CC(C1CO1)C(C)=O                       -64.0798
CC(C1CO1)C(N)=O                       -69.9994
CC(N1CC1)C(C)=O                       -15.6923
CC(N1CC1)C(N)=O                       -22.5525
CN(C1CC1)C(C)=O                       -34.2057
CN(C1CC1)C(N)=O                       -31.4104
NC(=O)C(O)C1CC1                       -74.7321
NC(=O)C(O)C1CN1                       -61.2579
NC(=O)C(O)C1CO1                      -101.2958
[NH3+]C(C1CC1)C([O-])=O               -73.2813
[NH3+]C(C1CN1)C([O-])=O               -58.3281
[NH3+]C(C1CO1)C([O-])=O              -102.9870
CC1(CCC1)C1CC1                         20.3948
CC1(CCC1)C1CO1                        -10.3908
CC1(CCC1)N1CC1                         36.0258
CC1(CCO1)C1CC1                        -13.4085
CC1(CCO1)C1CN1                          0.5389
CC1(CCO1)C1CO1                        -40.3612
CC1(COC1)C1CC1                         -5.7026
CC1(COC1)C1CO1                        -35.1554
CC1(COC1)N1CC1                         12.6417
OC1(CCC1)C1CC1                        -13.6858
OC1(CCC1)C1CN1                         -0.1068
OC1(CCC1)C1CO1                        -40.7020
OC1(COC1)C1CC1                        -38.7598
OC1(COC1)C1CN1                        -24.6211
OC1(COC1)C1CO1                        -64.7581
CC1(CC1O)C1CC1                         -7.7282
CC1(CC1O)C1CN1                          5.6142
CC1(CC1O)C1CO1                        -38.6663
CC1(CC1O)N1CC1                          9.8449
CC1CC1(C)C1CC1                         19.6268
CC1CC1(C)C1CO1                         -8.3683
CC1CC1(C)N1CC1                         38.7724
CC1CC1(O)C1CC1                        -11.4594
CC1CC1(O)C1CN1                          2.5701
CC1CC1(O)C1CO1                        -41.9840
CC1NC1(C)C1CN1                         45.5724
CC1NC1(C)C1CO1                          3.4411
CC1OC1(C)C1CC1                        -15.4265
CC1OC1(C)C1CN1                         -0.8899
CC1OC1(C)C1CO1                        -41.5384
CN1CC1(C)C1CC1                         39.0698
CN1CC1(C)C1CO1                          9.7984
OC1CC1(O)C1CC1                        -39.2813
OC1CC1(O)C1CN1                        -26.9799
OC1CC1(O)C1CO1                        -69.6295
C1CC1C12CC(C1)C2                       69.1557
C1CC1C12CC(C1)O2                       46.0703
C1CC1C12CN(C1)C2                       94.1836
C1CN1C12CC(C1)C2                       85.8170
C1CN1C12CN(C1)C2                      110.0386
C1NC1C12CC(C1)O2                       61.7244
C1OC1C12CC(C1)C2                       41.8867
C1OC1C12CC(C1)O2                       20.3462
C1OC1C12CN(C1)C2                       67.5866
CC12C3C1C1CC3C21                       96.8272
CC12C3C1C1CC3N21                      110.1458
CC12C3C1C1OC3C21                       69.4936
CC12C3C1N1CC3C21                      115.8342
CC12C3C4CC(C14)N23                    108.2557
OC12C3C1C1CC3C21                       69.5187
OC12C3C1C1OC3C21                       43.2518
OC12C3C1N1CC3C21                       88.8143
CC1C2C3C(C)C2C13                       74.0390
CC1C2C3C(C)N2C13                       92.5358
CC1C2C3C(O)C2C13                       43.6086
CC1C2C3C(O)C2N13                       61.0580
CC1C2C3C1C2N3C                         97.0576
CN1C2C3C(O)C2C13                       67.2440
CN1C2C3C1C2N3C                        120.9535
OC1C2C3C(O)C2C13                       13.0445
CC1C2C3C1C2C3=O                        52.3092
CC1C2C3N1C2C3=O                        76.0802
CN1C2C3C1C2C3=O                        77.0673
OC1C2C3C1C2C3=O                        21.8468
C1C2C3C4C=CC13C24                     147.9732
C1C2C3C4C=CC13N24                     163.3287
C1C2C3N4C=NC13C24                     175.8278
C1N2C3C4C=CC13C24                     170.8770
O1C2C3C4C=CC13C24                     132.2090
C1C2C3C4CCC13C24                      103.3665
C1C2C3C4CCC13N24                      117.8755
C1C2C3C4COC13C24                       82.4447
C1C2C3C4OCC13C24                       79.7966
C1C2C3N4CCC13C24                      125.1565
C1CC23NC4C2N1C34                      147.8525
C1CC23OC4C2C1C34                       86.4131
C1CC23OC4C2N1C34                      111.2339
C1N2C3C4CCC13C24                      126.1379
C1N2C3C4COC13C24                      105.0002
C1N2C3C4OCC13C24                      104.5296
C1OC2C3C4OC13C24                       65.2673
C1CC11C2C3CC2C13                      116.0460
C1CC11C2C3CC2N13                      133.9209
C1CC11C2C3CN2C13                      137.0308
C1CC11C2C3OC2C13                       94.8977
C1NC11C2C3CN2C13                      150.6964
C1NC11C2C3OC2C13                      108.2244
C1OC11C2C3CC2C13                       84.9598
C1OC11C2C3CN2C13                      107.9928
C1OC11C2C3OC2C13                       64.8902
CC12CC3C1C1C2N31                      110.3868
CC12CC3C4C(C13)N24                    108.7941
CC12CC3C4C(C14)C23                     97.1937
CC12CC3C4C(C14)N23                    110.6371
CC12CC3C4C1N4C23                      108.5852
CC12CN3C4C(C14)C23                    116.2923
CC12OC3C4C(C14)C23                     66.9917
CC12OC3C4C1N4C23                       79.8302
OC12CC3C1C1C2N31                       82.1608
OC12CC3C4C(C14)C23                     67.5125
OC12CC3C4C1N4C23                       79.6671
OC12CN3C4C(C14)C23                     86.9562
CC12C3C4C(N14)C23O                    101.4372
CC12C3C4C1C2(C)N34                    128.4961
CC12C3C4C3C1(C)C24                    117.8959
CC12C3C4C3C1(C)N24                    126.7146
CC12C3C4C3C1(O)C24                     90.0276
CC12C3C4N3C1C24C                      130.5022
CC12C3C4N3C1C24O                      103.2959
OC12C3C4C3C1(O)C24                     64.0587
OC12C3C4N3C1C24O                       77.8668
C#CCC1C2CC1C2                         110.4046
C#CCC1C2CC1O2                          89.6567
C#CCN1C2CC1C2                         135.2920
N#CCC1C2CC1C2                          81.3927
N#CCC1C2CC1O2                          61.4266
N#CCC1C2CN1C2                         106.4244
N#CCN1C2CC1C2                         106.8611
N=COC1C2CC1C2                          33.7306
N=COC1C2CC1O2                          13.7972
O=CCC1C2CC1C2                          23.8175
O=CCC1C2CC1O2                           3.0702
O=CCC1C2CN1C2                          48.3648
O=CCN1C2CC1C2                          46.9253
O=CNC1C2CC1C2                          15.5699
O=CNC1C2CC1O2                          -4.2462
O=COC1C2CC1C2                         -21.9850
O=COC1C2CC1O2                         -41.6398
CC#CC1C2CC1C2                         101.3133
CC#CC1C2CC1O2                          80.4894
CC#CC1C2CN1C2                         126.6506
CCCC1C2CC1C2                           35.8303
CCCC1C2CC1O2                           14.5163
CCOC1C2CC1C2                            6.0268
CCOC1C2CC1O2                          -14.4689
COCC1C2CC1C2                           14.0526
COCC1C2CC1O2                           -6.7443
COCC1C2CN1C2                           38.8232
OCCC1C2CC1C2                            9.2164
OCCC1C2CC1O2                          -12.0172
OCCC1C2CN1C2                           32.9065
C1CC(C1)C1CCC1                         18.5374
C1CC(C1)C1CCO1                        -10.9097
C1CC(C1)C1COC1                         -6.7430
C1CC(O1)C1CCO1                        -39.9031
C1CC(O1)C1COC1                        -35.0173
C1CN(C1)C1COC1                          9.6259
C1OCC1C1COC1                          -31.4305
CC(=O)C1C2CC1C2                        15.8820
CC(=O)C1C2CC1O2                        -4.4982
CC(=O)C1C2CN1C2                        40.8742
CC(=O)N1C2CC1C2                        23.8737
NC(=O)C1C2CC1C2                        10.4732
NC(=O)C1C2CC1O2                       -10.2678
NC(=O)C1C2CN1C2                        33.4517
NC(=O)N1C2CC1C2                        22.2902
[O-]C(=O)C1C2CC1[NH2+]2                18.0429
[O-]C(=O)C1C2C[NH+]1C2                 15.0309
CC(C)C1C2CC1C2                         35.2386
CC(C)C1C2CC1O2                         13.9629
CC(O)C1C2CC1C2                          5.8279
CC(O)C1C2CC1O2                        -15.3631
CC(O)C1C2CN1C2                         28.1368
CC1CC1C1CCC1                           19.3425
CC1CC1C1CCO1                           -9.5367
CC1CC1C1COC1                           -5.9467
CC1CN1C1CCC1                           36.0358
CC1CN1C1COC1                           11.6333
CC1NC1C1CCO1                            3.9469
CC1OC1C1CCC1                          -11.8667
CC1OC1C1CCO1                          -39.6873
CC1OC1C1COC1                          -36.6495
CN1CC1C1CCC1                           39.1376
CN1CC1C1CCO1                           11.8510
CN1CC1C1COC1                           14.2763
OC1CC1C1CCC1                           -9.0447
OC1CC1C1CCO1                          -39.3183
OC1CC1C1COC1                          -34.4369
CC(=O)C1C2CCC12                         0.6693
CC(=O)C1C2CCN12                        18.3027
CC(=O)C1C2COC12                       -21.5558
CC(=O)N1C2CCC12                         8.3968
NC(=O)C1C2CCC12                        -4.1823
NC(=O)C1C2CCN12                        13.1348
NC(=O)C1C2COC12                       -28.7963
NC(=O)N1C2CCC12                         6.2115
[O-]C(=O)C1C2C[NH2+]C12               -30.6355
CC(C)C1C2CCC12                         21.4127
CC(C)C1C2COC12                         -2.3505
CC(O)C1C2CCC12                         -7.9447
CC(O)C1C2CCN12                          8.1958
CC(O)C1C2COC12                        -32.6956
C1CC2(C1)C1CC2C1                       69.4613
C1CC2(C1)C1CC2O1                       48.2979
C1CC2(O1)C1CC2C1                       36.9105
C1CC2(O1)C1CC2O1                       18.9776
O1CC2(C1)C1CC2C1                       43.9104
O1CC2(C1)C1CC2O1                       23.6594
C1C2CN1C21COC1                         66.9641
C1CC2(C1)C1CCC21                       56.9883
C1CC2(C1)C1COC21                       33.9863
C1CC2(O1)C1CCC21                       29.8692
C1CC2(O1)C1COC21                        8.3758
C1CC2C1C21COC1                         32.2952
C1CN2C1C21COC1                         46.8569
C1OC2C1C21COC1                         10.4183
CC1CC11C2CC1C2                         73.0933
CC1CC11C2CC1O2                         53.4925
CC1NC11C2CC1O2                         65.0804
CC1OC11C2CC1C2                         38.5358
CC1OC11C2CC1O2                         20.9982
CN1CC11C2CC1O2                         71.4521
OC1CC11C2CC1C2                         46.3250
OC1CC11C2CC1O2                         28.5916
OC1CC11C2CN1C2                         71.0950
O=C1C2CC1C=CC2                         10.1889
O=C1C2CC1N=CN2                         27.2051
O=C1C2CC1N=CO2                        -11.4209
O=C1C2CC=CC1N2                         27.4991
O=C1C2CC=CC1O2                        -14.0681
O=C1C2CC1CCC2                         -17.7732
O=C1C2CC1COC2                         -42.6332
O=C1C2CC1OCC2                         -38.0906
O=C1C2CC1OCO2                         -61.3562
O=C1C2CCCC1N2                          -2.2828
O=C1C2CCCC1O2                         -44.3758
O=C1C2CNCC1O2                         -27.7233
O=C1C2COCC1N2                         -26.5341
O=C1C2COCC1O2                         -64.8840
CC1C2CC1C=CC2                          29.7337
CC1C2CC1N=CO2                           0.4375
CC1C2CC=CC1O2                           2.4477
OC1C2CC1C=CC2                          -0.4570
OC1C2CC1N=CO2                         -28.1368
OC1C2CC=CC1O2                         -30.3252
CC1C2CC1CCC2                            1.6379
CC1C2CC1COC2                          -23.8282
CC1C2CC1OCC2                          -22.9077
CC1C2CC1OCO2                          -50.1704
CC1C2CCCC1O2                          -27.3310
CC1C2CN1CCO2                           -0.7965
CC1C2COCC1O2                          -52.8129
CN1C2CC1COC2                           -3.8311
OC1C2CC1CCC2                          -27.1515
OC1C2CC1COC2                          -53.4002
OC1C2CC1OCC2                          -52.4596
OC1C2CC1OCO2                          -79.3992
OC1C2CCCC1O2                          -59.0974
OC1C2COCC1N2                          -37.2585
OC1C2COCC1O2                          -81.3043
O=C1C2C=CC1C=C2                        34.8145
O=C1C2CCC1C=C2                          2.0758
O=C1C2COC1C=C2                        -20.0897
O=C1C2CCC1CC2                         -29.7015
O=C1C2CCC1OC2                         -52.8823
O=C1C2CNC1CN2                           5.4415
O=C1C2COC1CN2                         -34.8041
O=C1C2COC1CO2                         -74.1423
O=C1C2COC1OC2                         -80.9257
CC1C2C=CC1C=C2                         60.6369
OC1C2C=CC1C=C2                         26.1640
CC1C2CCC1C=C2                          21.2027
CC1C2COC1C=C2                          -4.7982
OC1C2CCC1C=C2                         -10.4050
OC1C2COC1C=C2                         -37.6313
CC1C2CCC1CC2                          -13.1819
CC1C2CCC1OC2                          -40.2075
CC1C2COC1CO2                          -66.4807
CC1C2COC1OC2                          -71.5466
OC1C2CCC1CC2                          -43.0915
OC1C2CCC1OC2                          -69.9765
OC1C2COC1CO2                          -93.9693
OC1C2COC1OC2                         -101.4336
CC12C3CC1CC2C3                         49.7895
CC12C3CC1OC2C3                         21.0477
CC12C3CN1CC2O3                         40.7022
OC12C3CC1CC2C3                         20.9216
OC12C3CC1OC2C3                         -7.4356
CC12C3CC1=CCC23                       114.6366
